Produto;Marca;Index
Cachaca de Jambu com Cupuacu - 750ml - Genuina;Genuina;180
Cachaca de Jambu Tradicional  - 750ml - Genuina;Genuina;181
Hidrolato de Breu 1 litro - (Protium Sp.);Inatú;182
Manteiga de cacau;Inatú;183
Manteiga de cupuacu;Inatú;184
Manteiga de Cupuacu - 1 kg - Inatu;Inatú;185
manteiga de murmuru;Inatú;186
Manteiga de murumuru;Inatú;187
MANTEIGA VEGETAL DE CUPUACU  KG;Inatú;188
OLEO  DE PRACAXI;Inatú;189
Oleo de Andiroba - 1 Litro - Inatu;Inatú;190
Oleo de Andiroba - 30ml- Inatu;Inatú;191
Oleo de Andiroba Inatu 30ml;Inatú;192
Oleo de Copaiba - 1 litro - Inatu;Inatú;193
Oleo de Copaiba Inatu 30ml;Inatú;194
OLEO ESSENCIAL DE BREU;Inatú;195
OLEO ESSENCIAL DE BREU BRANCO;Inatú;196
OLEO ESSENCIAL DE BREU BRANCO INATU 10 ML LOTE 270121;Inatú;197
Oleo Essencial de Breu Branco Inatu 10ml;Inatú;198
OLEO ESSENCIAL DE BREU LITRO;Inatú;199
OLEO LIDIMO DE ANDIROBA INATU 30 ML LOTE 290121 (248 UNI TOTAL);Inatú;200
Oleo Lidimo de Cafe Verde Inatu 30 ml;Inatú;201
Oleo Lidimo de Cafe Verde Inatu 30 ml Lote: 150221 x207;Inatú;202
Oleo Lidimo de Resina de Copaiba Inatu 30 ml Lote: 220121 x250;Inatú;203
OLEO VEGETAL DE ANDIROBA 1 Litro;Inatú;204
KITS DE DESCANSO DE PANELA EM FIBRA NATURAL;IOV;205
Bala de Goma  Cupuacu - 108g - Manawara;Manawara;206
Bala de Goma Mix - 108g - Manawara;Manawara;207
AMBURANA;Manioca;208
AMBURANA 100g;Manioca;209
CUMARU 100gr;Manioca;210
CUMARU 1KG;Manioca;211
CUPUACU POLPA PAST. BR 10KG;Manioca;212
DOCE DE GARFO DE CUPUACU 130G;Manioca;213
Doce de Garfo de Cupuacu 500g;Manioca;214
Farinha de Braganca 500g Lote: 150920 Val 15/09/21;Manioca;215
Farinha Tapioca 150g;Manioca;216
Feijao Manteiguinha - 500g - Manioca;Manioca;217
Feijao Manteiguinha 500g;Manioca;218
Feijao Manteiguinha 500g Lote 68033 Val 03/08/21;Manioca;219
GELEIA CACAU E CUMARU 500G;Manioca;220
Geleia Cupuacu -130g - Manioca  Val 22/10/21;Manioca;221
Geleia de Acai - 130g - Manioca;Manioca;222
