ns1:natOp;Marca;Produto;ns1:uCom;Quantitade;Valor Unitario;ns1:vProd
Venda de mercadorias;;Molho de Tucupi Preto 150ml;UN;12;21;252
Venda de mercadorias;;Feijao Manteiguinha 500g;UN;9;13,86;124,74
Venda de mercadorias;;Doce Organico de Umbu cremoso;und;4;11,52;46,08
Venda de mercadorias;;Geleia de Maracuja da Caatinga;und;6;10,8;64,8
Venda de mercadorias;;GELEIA DE UMBU ORGANICO 240G;UN;4;11,52;46,08
Venda de mercadorias;;Guarana em Po Organico - 125g;UN;6;21,6;129,6
Venda de mercadorias;;Nibs Nakau de Cacau Cru 100g;und;5;15;75
Venda de mercadorias;;TUCUPI PRETO 40g;UN;1;60;60
Venda de mercadorias;;Geleia de Priprioca 130g;UN;1;18,8;18,8
Venda de mercadorias;;Geleia de Tapereba 130g;UN;1;25;25
Venda de mercadorias;;Tucupi Amarelo 1 L;und;1;35;35
Venda de mercadorias;;Feijao Manteiguinha 500g;UN;20;13,86;277,2
Venda de mercadorias;;MEL DE ABELHA SEM FERRAO 150G;UN;20;28,78;575,6
Venda de mercadorias;;Oleo Acai;litro;1;333;333
Venda de mercadorias;;OLEO VEGETAL DE CASTANHA;litro;1;151,3;151,3
Venda de mercadorias;;manteiga de murmuru;Kg;1;84,14;84,14
Venda de mercadorias;;Manteiga de cupuacu;kg;1;94,79;94,79
Venda de mercadorias;;Argila Branca;Kg;1;68,44;68,44
Venda de mercadorias;;ARGILA VERMELHA kg;kg;1;96,66;96,66
Venda de mercadorias;;Camu Camu em po 200g;UN;1;37,5;37,5
Venda de mercadorias;;Camu Camu em po 200g;UN;1;37,5;37,5
Venda de mercadorias;;Geleia de Acai 130g;UN;1;16,07;16,07
Venda de mercadorias;;Geleia de Pimenta 130g;UN;1;16,07;16,07
Venda de mercadorias;;KIT 6 Geleias 40g;UN;1;60,75;60,75
Venda de mercadorias;;Geleia de Manga 130G;UN;1;16,07;16,07
Venda de mercadorias;;Chocolate Nakau 54% Cacau 40g;UN;2;10,8;21,6
Venda de mercadorias;;ARGILA BRANCA 50G;UN;1;21,05;21,05
Venda de mercadorias;;ARGILA ROSA 50G;UN;1;21,05;21,05
Venda de mercadorias;;OLEO DE CASTANHA SIMBIOZE;UN;1;23,38;23,38
Venda de mercadorias;;OLEO  DE PRACAXI;UN;1;34,48;34,48
Venda de mercadorias;;OLEO ESSENCIAL DE COPAIBA;UN;1;46,58;46,58
Venda de mercadorias;;OLEO ESSENCIAL DE PRIPIOCA;UN;1;105,3;105,3
Venda de mercadorias;;OLEO ESSENCIAL DE BREU BRANCO;UN;1;91,8;91,8
Venda de mercadorias;;Castanha do Brasil Beneficiada 125g;und;2;13,37;26,74
Venda de mercadorias;;Cafe Apui Organico;UN;2;13,5;27
Venda de mercadoria recebida anteriormente em consignacao BR;;Chocolate Nakau 63% Cacau ao Leite de Coco com Castanha da Amazonia 5g;UN;180;0,95;171
Venda de mercadoria recebida anteriormente em consignacao BR;;Chocolate Nakau 72% Cacau com Cupuacu 5g;UN;180;0,95;171
Venda de mercadoria recebida anteriormente em consignacao BR;;Chocolate Nakau 54% Cacau ao Leite de Coco 5g;UN;60;0,95;57
Venda de mercadoria recebida anteriormente em consignacao BR;;Chocolate Nakau 54% Cacau 40g;UN;3;6,5;19,5
Venda de mercadoria recebida anteriormente em consignacao BR;;Chocolate Nakau 63% Cacau 40g;UN;1;6,5;6,5
Venda de mercadoria recebida anteriormente em consignacao BR;;Chocolate Nakau 72% Cacau 40g;UN;1;6,5;6,5
Venda de mercadoria recebida anteriormente em consignacao BR;;Chocolate Nakau 63% Cacau ao Leite de Coco com Cafe Apui 5g;UN;2;0,95;1,9
Venda de mercadoria recebida anteriormente em consignacao BR;;Chocolate Nakau 63% Cacau com Cafe Apui 40g;UN;2;7,5;15
Venda de mercadoria recebida anteriormente em consignacao BR;;Chocolate Nakau 63% Cacau com Castanha da Amazonia 43g;UN;14;7,5;105
Venda de mercadoria recebida anteriormente em consignacao BR;;Chocolate Nakau 72% Cacau com Cupuacu 43g;UN;4;7,5;30
Venda de mercadoria recebida anteriormente em consignacao BR;;Chocolate Nakau 72% Cacau com Pimenta Baniwa 40g;UN;2;7,5;15
Venda de mercadoria recebida anteriormente em consignacao BR;;Nibs Nakau de Cacau Cru 100g;und;5;10;50
Venda de mercadoria recebida anteriormente em consignacao BR;;Castanha do Brasil Beneficiada 125g;und;48;8,99;431,52
Venda de mercadorias;;CHOCOLATE XIBA - 81% CACAU - De Mendes;UN;5;18,75;93,75
Venda de mercadorias;;CHOCOLATE BOM JARDIM - 63% CACAU - De Mendes;UN;2;18,75;37,5
Venda de mercadorias;;MEL DE ABELHA SEM FERRAO 150G;UN;1;40;40
Venda de mercadorias;;CHOCOLATE MULHERES DA FLORESTA - 72% CACAU - De Mendes;UN;1;18,75;18,75
Venda de mercadorias;;Chocolate Nakau 72% Cacau 40g;UN;2;15;30
Venda de mercadorias;;CHOCOLATE AO LEITE DE BUFALA - 47% CACAU - De Mendes;UN;1;18,75;18,75
Venda de mercadorias;;OLEO ESSENCIAL DE PRIPIOCA;UN;2;79,25;158,5
Venda de mercadorias;;OLEO ESSENCIAL DE COPAIBA;UN;3;42,5;127,5
Venda de mercadorias;;OLEO ESSENCIAL DE BREU BRANCO;UN;4;68,3;273,2
Venda de mercadorias;;CHOCOLATE BOM JARDIM - 63% CACAU - De Mendes;UN;1;18,75;18,75
Venda de mercadorias;;CHOCOLATE AO LEITE DE BUFALA - 47% CACAU - De Mendes;UN;1;18,75;18,75
Venda de mercadorias;;CHOCOLATE JARI - 65% CACAU - De Mendes;UN;1;18,75;18,75
Venda de mercadorias;;CHOCOLATE MULHERES DA FLORESTA - 72% CACAU - De Mendes;UN;1;18,75;18,75
Venda de mercadorias;;CUPULATE KUNKUNI - 70% CUPUACU - De Mendes;UN;1;18,75;18,75
Venda de mercadorias;;Geleia de Priprioca 130g;UN;1;25;25
