,ns1:natOp,Marca_x,Produto,ns1:uCom,Quantitade,Valor Unitario,ns1:vProd,Marca_y,Index
174,Venda de mercadorias,,Chocolate Nakau 63% Cacau com Castanha da Amazonia 43g,UN,6,14,84,Nakau,306.0
175,Venda de mercadorias,,Chocolate Nakau 63% Cacau com Cafe Apui 40g,UN,6,14,84,Nakau,304.0
176,Venda de mercadorias,,Chocolate Nakau 72% Cacau com Pimenta Baniwa 40g,UN,1,14,14,Nakau,315.0
177,Venda de mercadorias,,Geleia de Pimenta 130g,UN,6,14,84,Manioca,239.0
178,Venda de mercadorias,,KIT 6 Geleias 40g,UN,1,100,100,,
179,Venda de mercadorias,,Molho de Tucupi Preto 150ml,UN,1,"17,5","17,5",Manioca,258.0
180,Venda de mercadorias,,Farinha Tapioca 150g,UN,5,"9,07","45,35",Manioca,216.0
181,Venda de mercadorias,,Guarana em Po Organico - 125g,UN,2,"21,6","43,2",Terramazonia,522.0
182,Venda de mercadorias,,Cafe Apui Organico,UN,9,12,108,Café Apuí,17.0
183,Venda de mercadorias,,Guarana em Po Organico - 125g,UN,7,"21,6","151,2",Terramazonia,522.0
184,Venda de mercadorias,,Cafe Apui Organico,UN,7,12,84,Café Apuí,17.0
185,Venda de mercadorias,,Molho de Tucupi Preto 150ml,UN,5,21,105,Manioca,258.0
186,Venda de mercadorias,,Feijao Manteiguinha 500g,UN,7,"13,86","97,02",Manioca,218.0
187,Venda de mercadorias,,Chocolate Nakau 63% Cacau com Cafe Apui 40g,UN,7,"10,8","75,6",Nakau,304.0
188,Venda de mercadorias,,Chocolate Nakau 63% Cacau com Castanha da Amazonia 43g,UN,7,"10,8","75,6",Nakau,306.0
189,Venda de mercadorias,,Chocolate Nakau 72% Cacau 40g,UN,7,"9,6","67,2",Nakau,309.0
190,Venda de mercadorias,,Chocolate Nakau 63% Cacau 40g,UN,7,"9,6","67,2",Nakau,299.0
191,Venda de mercadorias,,Molho de Tucupi Preto 150ml,UN,2,14,28,Manioca,258.0
192,Venda de mercadorias,,Cafe Apui Organico,UN,5,"12,25","61,25",Café Apuí,17.0
193,Venda de mercadorias,,Chocolate Nakau 72% Cacau com Pimenta Baniwa 40g,UN,2,11,22,Nakau,315.0
194,Venda de mercadorias,,KIT 6 Geleias 40g,UN,1,100,100,,
195,Venda de mercadorias,,Cafe Apui Organico,UN,18,12,216,Café Apuí,17.0
196,Venda de mercadorias,,Feijao Manteiguinha 500g,UN,3,"13,86","41,58",Manioca,218.0
197,Venda de mercadorias,,OLEO  DE PRACAXI,UN,1,42,42,Inatú,189.0
198,Venda de mercadorias,,OLEO DE COPAIBA,UN,1,35,35,Oleicos,350.0
199,Venda de mercadorias,,OLEO DE ANDIROBA,UN,1,28,28,Oleicos,346.0
200,Venda de mercadorias,,OLEO DE CASTANHA,UN,1,"31,75","31,75",Oleicos,348.0
201,Venda de mercadorias,,Cafe Apui Organico,UN,1,20,20,Café Apuí,17.0
202,Venda de mercadorias,,Guarana em Po Organico - 125g,UN,1,30,30,Terramazonia,522.0
203,Venda de mercadoria recebida anteriormente em consignacao SP,,OLEO COPAIBA,litro,6,123,738,Oleicos,345.0
204,Venda de mercadorias,,Cafe Apui Organico,UN,7,12,84,Café Apuí,17.0
205,Venda de mercadorias,,Guarana em Po Organico - 125g,UN,7,"21,6","151,2",Terramazonia,522.0
206,Venda de mercadorias,,Farinha Tapioca 150g,UN,7,"9,07","63,49",Manioca,216.0
207,Venda de mercadorias,,MEL DE ABELHA SEM FERRAO 150G,UN,7,"28,78","201,46",Peabiru,363.0
208,Venda de mercadorias,,Molho de Tucupi Preto 150ml,UN,7,21,147,Manioca,258.0
209,Venda de mercadorias,,Chocolate Nakau 63% Cacau com Castanha da Amazonia 5g,UN,60,"1,29","77,4",Nakau,307.0
210,Venda de mercadorias,,Chocolate Nakau 72% Cacau com Cupuacu 5g,UN,60,"1,29","77,4",Nakau,313.0
211,Venda de mercadorias,,Oleo Buriti,litro,5,154,770,Oleicos,344.0
212,Venda de mercadorias,,Manteiga de cupuacu,kg,3,"94,79","284,37",Inatú,184.0
213,Venda de mercadorias,,manteiga de murmuru,Kg,1,"84,15","84,15",Inatú,186.0
214,Venda de mercadorias,,Manteiga de murumuru,kg,2,"84,15","168,3",Inatú,187.0
215,Venda de mercadorias,,argila branca,Kg,1,"59,03","59,03",Oleicos,337.0
216,Venda de mercadorias,,argila verde,Kg,1,"112,09","112,09",Oleicos,339.0
217,Venda de mercadorias,,argila rosa,Kg,1,"82,56","82,56",Oleicos,338.0
218,Venda de mercadorias,,Chocolate Nakau 54% Cacau 40g,UN,1,15,15,Nakau,296.0
219,Venda de mercadorias,,Chocolate Nakau 63% Cacau 40g,UN,1,15,15,Nakau,299.0
220,Venda de mercadorias,,Chocolate Nakau 72% Cacau 40g,UN,1,15,15,Nakau,309.0
221,Venda de mercadorias,,Chocolate Nakau 63% Cacau com Cafe Apui 40g,UN,1,"16,5","16,5",Nakau,304.0
222,Venda de mercadorias,,Geleia de Acai 130g,UN,1,22,22,Manioca,223.0
223,Venda de mercadorias,,Geleia de Jambu 130g,UN,1,22,22,Manioca,229.0
224,Venda de mercadorias,,Chocolate Nakau 72% Cacau com Cupuacu 43g,UN,1,15,15,Nakau,312.0
225,Venda de mercadorias,,Cafe Apui Organico,UN,2,20,40,Café Apuí,17.0
226,Venda de mercadorias,,Chocolate Nakau 63% Cacau ao Leite de Coco com Cafe Apui 5g,UN,2,3,6,Nakau,302.0
227,Venda de mercadorias,,MEL DE ABELHA SEM FERRAO 300G,UN,48,"48,56","2330,88",Peabiru,372.0
228,Venda de mercadorias,,Chocolate Nakau 63% Cacau com Castanha da Amazonia 43g,UN,14,"12,12","169,68",Nakau,306.0
229,Venda de mercadorias,,Molho de Tucupi Preto 150ml,UN,2,"23,63","47,26",Manioca,258.0
230,Venda de mercadorias,,MEL DE ABELHA SEM FERRAO 150G,UN,7,"28,78","201,46",Peabiru,363.0
231,Venda de mercadorias,,Castanha do Brasil Beneficiada 125g,und,48,"11,88","570,24",Floresta em Pé,178.0
232,Venda de mercadorias,,COMPOTA ORGANICA DE UMBU 630G,und,4,"14,4","57,6",Coopercuc,23.0
233,Venda de mercadorias,,Kit Doces Caatinga Organico,UN,4,"17,28","69,12",Coopercuc,34.0
234,Venda de mercadorias,,Doce em corte de Umbu Organico,und,4,"11,52","46,08",Coopercuc,27.0
